event_index,block_num,extrinsic_hash,extrinsic_idx,section,metion,Associated_address
8071035-3,8071035,0xd3c1d1b0ad3d608d0f20573f038f059eb24fbcc756b86f85047c528c987888a2,3,council,Voted,Hjuii5eGVttxjAqQrPLVN3atxBDXPc4hNpXF6cPhbwzvtis
8071003-2,8071003,0xd9805fbbade0f3d15838a93df466ba1e77884e4fd7291514c7bf49320e95436c,2,council,Proposed,GLVeryFRbg5hEKvQZcAnLvXZEXhiYaBjzSDwrXBXrfPF7wj
8069349-5,8069349,0x464efdbda4ffc10884a72a0b707408086e64c6fc34bc39b8e8e57b52aaa17308,5,council,Voted,Hh6rSbzWy7Qni97XMnN7p42Hf4G2UpZohiEwsJKoYTr8BmL
8067304-2,8067304,0xc846dce342935f82858d711d8d3df64e254fa050b53c35cc894e7adf27c367e7,2,council,Voted,DwuvsJZiijfLtGQ33GUa18d1GgGxo21GJpXrpwzxznyHpy8
8066355-2,8066355,0xbe96eee9a5ab1415ec50bdd8a1f538cf278c619a742a0718350a7474c07c7bfd,2,council,Voted,Hjuii5eGVttxjAqQrPLVN3atxBDXPc4hNpXF6cPhbwzvtis
8065709-2,8065709,0x4c7d8f2458604253a668e82f4e0698e20bf129191371d68ada3eb996ae44f1b9,2,council,Voted,H9eSvWe34vQDJAWckeTHWSqSChRat8bgKHG39GC1fjvEm7y
8054017-4,8054017,0x662709185346eb710366034ac64dc9eb496e6718e4207377ab81e65013007c7b,4,council,Voted,JCBwjZRKnYK562SKDDgSUnkSdCyZGEE8nfPNm26TbWRyeCB
8051140-2,8051140,0x34938624d3688248bcf29ef6228914fdf4f204d9fd0d139bf47a6c275c8569cb,2,council,Proposed,GLVeryFRbg5hEKvQZcAnLvXZEXhiYaBjzSDwrXBXrfPF7wj
8024552-6,8024552,0x68cd1cc768023090dbb122b8540e4273018a4e25faa2eb4a5a43832054b217ff,6,council,Closed,GLVeryFRbg5hEKvQZcAnLvXZEXhiYaBjzSDwrXBXrfPF7wj
8024552-6,8024552,0x68cd1cc768023090dbb122b8540e4273018a4e25faa2eb4a5a43832054b217ff,6,council,Approved,GLVeryFRbg5hEKvQZcAnLvXZEXhiYaBjzSDwrXBXrfPF7wj
8024552-6,8024552,0x68cd1cc768023090dbb122b8540e4273018a4e25faa2eb4a5a43832054b217ff,6,council,Executed,GLVeryFRbg5hEKvQZcAnLvXZEXhiYaBjzSDwrXBXrfPF7wj
8024549-4,8024549,0xaac00512f66915bd094d10b1e00af54d51ff98bd0fe4e8ea24ba5c9ebfb51bea,4,council,Voted,HyBryanRsB1GGKa9ZfqvRc3XpTDipYyRvxNNyZYfWFcenhd
8024344-2,8024344,0xcbfc9d48592fb6d738fbd2855bf7241f7fe792b5da3fef2db2db7bb7ab547865,2,council,Voted,EGVQCe73TpFyAZx5uKfE1222XfkT3BSKozjgcqzLBnc5eYo
8024327-3,8024327,0x9238f5e6d096dd5a39bed2d6bf4703c5b5fa2430a6594e287fdd570d20f88ab1,3,council,Voted,GoJ89MXptpNt1dH4NaZ73YtzknhrYeZcBJ33mifX5BMqoFz
8024311-2,8024311,0x23ad168a05767b87e0f508e8ff73aaa93f34b8150d374478e446c85c71635e7e,2,council,Voted,Hjuii5eGVttxjAqQrPLVN3atxBDXPc4hNpXF6cPhbwzvtis
8024279-2,8024279,0x793af35012a41dfd093049981aee555b3b2117a9b69cef692de31a95719cbc09,2,council,Voted,DaCSCEQBRmMaBLRQQ5y7swdtfRzjcsewVgCCmngeigwLiax
8024323-2,8024323,0xee3b079f393fa3fb5c1fa962ed20169d33bd41ff24278833ff0129a9d1f11154,2,council,Voted,JCBwjZRKnYK562SKDDgSUnkSdCyZGEE8nfPNm26TbWRyeCB
