event_index,block_num,extrinsic_hash,extrinsic_idx,section,metion,Associated_address
6463894-2,6463894,0x9a309eae93749edf75295724050d56fa0b565764b0fb0823a1b1fd1fcf724c32,2,society,Vote,EkRd7vCKiDZi6BM6tHKs5YAeGmE3MmQgChrrbtkRkf6SBwW
6463892-2,6463892,0x45fb4c681b88499949c4b6efdc4c8ae19e25d97f1bdecbf27b8d229dff6cb2cf,2,society,Vote,EkRd7vCKiDZi6BM6tHKs5YAeGmE3MmQgChrrbtkRkf6SBwW
6463586-1,6463586,0x12b73f6414dce73f3a3f64754f1f542ca0505212b6176fdcc0e382b595475f66,1,society,Vote,HL8bEp8YicBdrUmJocCAWVLKUaR2dd1y6jnD934pbre3un1
6463887-2,6463887,0xa8f15b91af04bba54cd3fe4c5d3819103619edde855f4cb8bb62aec313b01c41,2,society,DefenderVote,EkRd7vCKiDZi6BM6tHKs5YAeGmE3MmQgChrrbtkRkf6SBwW
6463608-1,6463608,0xa619a389ac9f910bf8704bee7bb03061542c5edbcf30e5bbb24eb5696b8cc007,1,society,Vote,HL8bEp8YicBdrUmJocCAWVLKUaR2dd1y6jnD934pbre3un1
6462708-1,6462708,0x1a9cdee2fe2f83b0cc91b7837d073f9e1b5c9db49a4d374891841676e712fcd0,1,society,Vote,D5QSdd589pFWeJm9bz1j3RTyy14ejKpnUKyEa4GBW9kYkVC
6462721-1,6462721,0x2f5e8cf3dbcd9409b2075e672b7468ed8bf4b55f9611ef8861715ba2f00fe38a,1,society,Vote,E2U89NfSnVCmY3hBQHEdJ9KV6shd6B8h4EWkNLcSJCPRAk8
6462719-1,6462719,0xdb5671ea0180c8fa049d9b9a59bcdb0383a5ab75bae6ca23e63d6c4e5883dd5f,1,society,Vote,E2U89NfSnVCmY3hBQHEdJ9KV6shd6B8h4EWkNLcSJCPRAk8
6462706-1,6462706,0x02527d09cdf79c65b900109354ce94e26f20a6fb46ee490f9f209f7a612268ba,1,society,Vote,D5QSdd589pFWeJm9bz1j3RTyy14ejKpnUKyEa4GBW9kYkVC
6462699-2,6462699,0x908818991472bf9670803ea2f445d19993552f0879589d34fde591948a6c8a7c,2,society,DefenderVote,E2U89NfSnVCmY3hBQHEdJ9KV6shd6B8h4EWkNLcSJCPRAk8
6462701-1,6462701,0xfe422e1d77b6f8f1a869040424dcbb6e33da9e2f80278c6c3c371bae107d248f,1,society,DefenderVote,D5QSdd589pFWeJm9bz1j3RTyy14ejKpnUKyEa4GBW9kYkVC
6462095-1,6462095,0x787287cbc6c559d98d659cf0d20172d55fa34a0448273095f960f61d4364606a,1,society,Bid,GJ2wraBjTtXH3m2TUxsVEc1bQdiuo6yiZUfczsws19uioX9
6462087-1,6462087,0x1fd2d2bc388f2930cc9145907041a3f5123c4a0252a40e623a3404feef000dd0,1,society,Unbid,GJ2wraBjTtXH3m2TUxsVEc1bQdiuo6yiZUfczsws19uioX9
6462408-3,6462408,0x711c65bf269f9b670a6ec76a4d29e6332f37db38ad2d6a27245fe2dd601ce50d,3,society,DefenderVote,Dab4bfYTZRUDMWjYAUQuFbDreQ9mt7nULWu3Dw7jodbzVe9
6461631-1,6461631,0x6893451b855a1bc73b0ae3f7288cbb8bb621fdbd50ddda564e89a5d0b7673c3e,1,society,Vote,DiMPtqB6HeYpYkjJJKNR6btJjmUNeG8yyhSg1N8UL3st5Um
6461342-1,6461342,0x7331575257808473b241c09994d3af3ab3c987e66d3527efa33e26fb8ad7f4d3,1,society,Vote,GHTohCLUcLyB8w4xMr4TyDkvUzDnim6fadWfJ7edPke971d
6462062-1,6462062,0x3a6fcabc151ef138fddd740f92e83a5501910be6d93b2e0d5ac42c8721e98ef5,1,society,Vote,Fomib3HNL24Cv6CbLJUf59yDF5shGFyDg8Wx7eGtmDdwrRF
6460989-1,6460989,0x267e34758d970625f6e6e7b42bef1b555dd37eb6ae331858197e7956e7eacb2c,1,society,DefenderVote,GsgSP79vBqKu4xvGZaNQRqVFmDBxsf6ztAw1t1R9KqNWjsC
6460731-1,6460731,0x034ebf619a5d98bf4311f8a424226ddde4f07b2552b4606a3c2b438f240b80d3,1,society,DefenderVote,J9c2fcmRhhNaJAxA8yLMkxap7PEWuYc1UaaTqxunfKscjG3
6460629-1,6460629,0xf3d22250ddce100661b77313c0c87f4f81de2c229e3bf2e0c24ce711e8b64452,1,society,DefenderVote,GRvRXw8jB2H9EGojmmjM4vZCeofuu91W2Zpbtr2QC5f7iLb
6460722-1,6460722,0xd7e20671f60b723ce65ccc847a9e6701606cbccaea5beba8b2a4a5f23354104e,1,society,Vote,J9c2fcmRhhNaJAxA8yLMkxap7PEWuYc1UaaTqxunfKscjG3
6460979-1,6460979,0x44b63674fe4c2e60a5930233c5c9f870b75231f2d288820ef773e7f3ecec9d17,1,society,Vote,GsgSP79vBqKu4xvGZaNQRqVFmDBxsf6ztAw1t1R9KqNWjsC
6458849-1,6458849,0xb441393ff2c65779b9da82af528c723b34dea1b02bac77b6a2ce8dba9f4603e2,1,society,Vote,GsgSP79vBqKu4xvGZaNQRqVFmDBxsf6ztAw1t1R9KqNWjsC
6460065-1,6460065,0x03e82ace068f5910c6c02f5600402ae9d5f766da9657d8fbb0433bb1704b5cc2,1,society,Vote,H9eSvWe34vQDJAWckeTHWSqSChRat8bgKHG39GC1fjvEm7y
6458843-1,6458843,0x075bfe9fb3c64d9a96a25e2b215c78a15193979e26e4a7155aabb30e615e6dc7,1,society,Vote,GsgSP79vBqKu4xvGZaNQRqVFmDBxsf6ztAw1t1R9KqNWjsC
6457841-1,6457841,0xb006223b9af1f751f10e367ca38fa36fc29abbb1d62547d6bc05d2a81201fcc1,1,society,Vote,FcxNWVy5RESDsErjwyZmPCW6Z8Y3fbfLzmou34YZTrbcraL
6458839-1,6458839,0x67eeb9c8508b48159340dc60eddf025b5fb1b3ae7002a480319728489e10d68b,1,society,Vote,GsgSP79vBqKu4xvGZaNQRqVFmDBxsf6ztAw1t1R9KqNWjsC
6460032-1,6460032,0x9ec64b30c34e300e8fc10debd5f5dce414cc571a2774b7c937313699348fb6b0,1,society,Vote,
6457840-1,6457840,0x5ba6bd71c4e1cb7b32a46375ae215c03b9ed61893545ad5585f46b2ee9998fb5,1,society,Vote,FcxNWVy5RESDsErjwyZmPCW6Z8Y3fbfLzmou34YZTrbcraL
6457664-1,6457664,0x8f56bc2c629741e76da806a8cf1cb14d8931bf1afd83e04671c1bbfd6bc8c9bb,1,society,Vote,J9c2fcmRhhNaJAxA8yLMkxap7PEWuYc1UaaTqxunfKscjG3
6455413-1,6455413,0x9a5ba20739654edf7d15f282baa60450dccfd6425b1bba3d393a7c4bcc0a2d2a,1,society,Unbid,J3hg1qmm6VeU6WWcxGQnKaMnD8wYAxnFQwaysE7RhVXbNvs
6455411-1,6455411,0x17957ff3429ef37770ad93798e974497467b8d12ad10066cca1e2c2bb1dd840f,1,society,Unbid,GoUZE6g169BskxYVFV6prDUN4siKxa6Mr8VZD8B6TU9MEtX
6453691-1,6453691,0xd0f16f6763eebeb812708a93559b89a74928140dfb67e778f2ad4d42fabd58c2,1,society,Vote,EtADjuauj4ETanscktz4jpejZdkCMVPnRxKos6AwgpzLdHM
6455218-1,6455218,0xc4b7b3e0c053e2a9376be6013c1a8ed6144eedc2b4a60698b73bca86a1aed031,1,society,Vote,GHTohCLUcLyB8w4xMr4TyDkvUzDnim6fadWfJ7edPke971d
6453680-2,6453680,0xcdf1e9a2c80a15b64462526c9f9a9517b2f096b94f43a30838358774cc49b8ab,2,society,Vote,EtADjuauj4ETanscktz4jpejZdkCMVPnRxKos6AwgpzLdHM
6453687-1,6453687,0xd8b8512d4abe0238ac70f3af5e5c745e7e7003a3dfa9f208b537513837cea21b,1,society,Vote,EtADjuauj4ETanscktz4jpejZdkCMVPnRxKos6AwgpzLdHM
6452815-1,6452815,0x23b1e5851aabeabb0aac40a2f0d7b06c1598188eebcff681470749202cc0f277,1,society,Bid,Hn4y5xom4rBD49e2eMTpsEbqAJgE7uSR62VGLVv78ZqCuxT
6452811-1,6452811,0x82ab7b2a0fe6f650ec8e6d92068c6f5525d82a91a98bc41405fbf3baa5dbe691,1,society,Unbid,Hn4y5xom4rBD49e2eMTpsEbqAJgE7uSR62VGLVv78ZqCuxT
6452489-1,6452489,0x80e5ccd74b627f764d192ddeed0508c128d72b4ee0fb689d832d663f62043ca3,1,society,Vote,Ewy2kju7jdqBFbp95Nw1go31KyiMHS9rRVaevGkM62F1btd
6451200-0,6451200,,0,society,Challenged,
6452430-1,6452430,0x2b5b2854c3ceb5f26af432636d59772c723437e7f618b81edcaad4fb8a17de5e,1,society,Vote,Ewy2kju7jdqBFbp95Nw1go31KyiMHS9rRVaevGkM62F1btd
6450226-1,6450226,0x374f9641f19784a6873708e9197e432568373a738393eb56fe9674ee9887fe5f,1,society,DefenderVote,Ewy2kju7jdqBFbp95Nw1go31KyiMHS9rRVaevGkM62F1btd
