event_index,block_num,extrinsic_hash,extrinsic_idx,section,metion,Associated_address
6641980-6,6641980,0xa818ceb4de2e7a16ec8bb0796bc4c4db7d155295ce4978f609b8e9be6c821224,6,democracy,PreimageNoted,1X5LsXBU6XVdJNAPxy21vczLfjGxH5X2o8TgKzNy5AcBAY3
6626249-1,6626249,0xda39351e7a874dfadc481105312faf705158082353219988f1034cd55ff1ea55,1,democracy,Started,1hCMdtRsaRA4ZTEKpPKPvEjK9rZpGhyFnRHSDhqFMCEayRL
6578706-3,6578706,0xe97f1dd0fa63fd5cca7498b16cf47941e34783c514c57a28d288ac4d78919724,3,democracy,Delegated,15KqnYHZG2BDytPua1vLniV28zoWQjiFy3RJ9vd8aZknDYyP
6578662-1,6578662,0x70b6dbd7215d0eedc194cd6c3558591c5465edab5ea546309ffa46a0ad606d70,1,democracy,Delegated,14DH67YwZ7UnuMkVjoqpT8b8WZZjEkhg6KUPBZfE7JrcHP29
6503569-1,6503569,0x26576e862ed3d321f93d490e235c64cb13be5d1739acbe0fd64ccedd0ffcd92e,1,democracy,PreimageNoted,123hbCGFwdcHkMCjsgvBQMSUauWW3bZwsjPsmZ3DuBGyMvED
6503359-1,6503359,0x844d77161b607e85845a8500a42141043bc7b6213c506434398ecf5a1dac66a2,1,democracy,Delegated,12Bxm1iBwwGuXNPvSKPyTMV2TNSKCTPQ3yTFEfEcFz5r2izN
6466353-5,6466353,0x3abf97a6b073451bb24cba8b4d4af51816fd77fc72b2587eaa40a4198628db32,5,democracy,Delegated,1pWQwLCFJZHtR9K2WEsdxeTbFidUMDGfmGKqxKEnWkdTkAp
6466248-4,6466248,0x1fd0505d560cbd742948b2771ff30aac2b1a3dbc92199d0b92d42f8c9f6b4530,4,democracy,Delegated,1pWQwLCFJZHtR9K2WEsdxeTbFidUMDGfmGKqxKEnWkdTkAp
6451200-0,6451200,,0,democracy,Tabled,
6455870-2,6455870,0x114d0605a1e11996668afebd68ca73617fe5f41049aba23be387485e217045e7,2,democracy,PreimageNoted,16hLGUMabm5iUr9EViV2c2c6K3YQooDW5UiPhhDcFRrhqYaQ
6451200-0,6451200,,0,democracy,Started,
6451200-0,6451200,,0,democracy,NotPassed,
6421146-0,6421146,,0,democracy,PreimageUsed,
6421146-0,6421146,,0,democracy,Executed,
6420546-0,6420546,,0,democracy,Passed,
6420558-1,6420558,0x5843c97f7e90571bda8bf35967d36dc8888d8f87b5a3e625736c7524f268bf4b,1,democracy,PreimageNoted,1hCMdtRsaRA4ZTEKpPKPvEjK9rZpGhyFnRHSDhqFMCEayRL
6405550-3,6405550,0x8c25c7dbdf5cefa2cb8c5775a07df89cd2659d77e578e02b635bdf081853d8fe,3,democracy,Delegated,12qyFML8APKsrwz71J9YvwjDdjTUZRAAcAUmEbMM1LD5VfFT
6372378-1,6372378,0x60610c6179f4686e215485ee39bae2fa502fc4621cae1bd747114559270f858f,1,democracy,Delegated,12Bxm1iBwwGuXNPvSKPyTMV2TNSKCTPQ3yTFEfEcFz5r2izN
6321619-0,6321619,,0,democracy,PreimageUsed,
6348546-1,6348546,0xb376e3a6b56e588adf24fc7516fbd06202162f7750509e3abe8a16c330d8c7cf,1,democracy,Started,13gMCjbt1Vm4HAmj3zyZ9Q68qaFfbxcV6wNUJWTtyA9pVtzF
6321619-0,6321619,,0,democracy,Executed,
6321019-0,6321019,,0,democracy,Passed,
6281352-2,6281352,0x0818911909191f493cb87ea7f6110af158c0d9189dffeea1056df325f8fe37f4,2,democracy,Delegated,13Y6SXhL4pxb3FMCCork1Jfi2bBTBzpS4wGT977XfLuMuqSK
