event_index,block_num,extrinsic_hash,extrinsic_idx,section,metion,Associated_address
1512000-0,1512000,,0,democracy,NotPassed,
1507029-2,1507029,0xfde39584d5bdc978f6f2a4b811b46fb3fef34267f35a00de58cb7d17cd599024,2,democracy,PreimageNoted,H9eSvWe34vQDJAWckeTHWSqSChRat8bgKHG39GC1fjvEm7y
1494360-0,1494360,,0,democracy,Executed,
1501886-2,1501886,0xf30719b35ef90dbf0f3141f6a265c0411ebf6c7912e4d2fa7d411b592b084ba5,2,democracy,Unlocked,DdB7TrMAbmXTpmXS3sAHohw1CfLhzveQNAhJ6eNPJiFxEWj
1494360-0,1494360,,0,democracy,PreimageUsed,
1494360-0,1494360,,0,democracy,Passed,
1492767-2,1492767,0xd8c2db21af4581f96d9245ee9cc1b17c372eb4cbb6b33d7587945c91ad9500df,2,democracy,Unlocked,GvyfytrxFQbHK8ZFNT3h12dJPfBXFjVV7k98cXni8VAgjKX
1492758-2,1492758,0x04e79f31192dd5e6e44ed76d9381066dfa15e9921c4bb31f274b6a7216eb9035,2,democracy,Unlocked,FcxNWVy5RESDsErjwyZmPCW6Z8Y3fbfLzmou34YZTrbcraL
1492560-2,1492560,0x87a647b4cd439e50b13ca1aa583c0fe9c2ea1394488b1221912ca9c77626b19b,2,democracy,Started,F2i6trfXqFknbgB3d9wcd1X98WWdLLktmFtK8Beud75bjTW
1491596-0,1491596,,0,democracy,Executed,
1491596-0,1491596,,0,democracy,Passed,
1492544-2,1492544,0x491c99def64601b6b53ed9ef6d4d2e4f072c2ec45fb933f5ca3798408bc0ce49,2,democracy,PreimageNoted,J9nD3s7zssCX7bion1xctAF6xcVexcpy2uwy4jTm9JL8yuK
1491596-0,1491596,,0,democracy,PreimageUsed,
1492533-2,1492533,0xfd345227ec99e426358feca23fca3c51b27ee26852d896c7b70523e436dc2942,2,democracy,PreimageNoted,CzJfMJpzjyjPXbW1wTjFxq3v8aAXpSxwNnuR6oTRCgZehMS
